State;Symbol;Type;Value
0;main;ACTION;s2
0;PROG;GOTO;1
1;$;ACTION;acc
2;num;ACTION;s5
2;text;ACTION;s6
2;begin;ACTION;r2
2;GLOBVARS;GOTO;3
2;VTYP;GOTO;4
3;begin;ACTION;s8
3;ALGO;GOTO;7
4;V;ACTION;s10
4;VNAME;GOTO;9
5;V;ACTION;r4
6;V;ACTION;r5
7;num;ACTION;s15
7;end;ACTION;r48
7;void;ACTION;s16
7;$;ACTION;r48
7;FUNCTIONS;GOTO;11
7;DECL;GOTO;12
7;HEADER;GOTO;13
7;FTYP;GOTO;14
8;V;ACTION;s10
8;end;ACTION;r8
8;skip;ACTION;s19
8;halt;ACTION;s20
8;print;ACTION;s21
8;return;ACTION;s22
8;if;ACTION;s28
8;F;ACTION;s29
8;VNAME;GOTO;26
8;INSTRUC;GOTO;17
8;COMMAND;GOTO;18
8;ASSIGN;GOTO;23
8;CALL;GOTO;24
8;BRANCH;GOTO;25
8;FNAME;GOTO;27
9;,;ACTION;s30
10;,;ACTION;r6
10;";";ACTION;r6
10;<;ACTION;r6
10;=;ACTION;r6
10;);ACTION;r6
11;$;ACTION;r1
12;num;ACTION;s15
12;end;ACTION;r48
12;void;ACTION;s16
12;$;ACTION;r48
12;FUNCTIONS;GOTO;31
12;DECL;GOTO;12
12;HEADER;GOTO;13
12;FTYP;GOTO;14
13;{;ACTION;s34
13;BODY;GOTO;32
13;PROLOG;GOTO;33
14;F;ACTION;s29
14;FNAME;GOTO;35
15;F;ACTION;r52
16;F;ACTION;r53
17;end;ACTION;s36
18;";";ACTION;s37
19;";";ACTION;r10
20;";";ACTION;r11
21;V;ACTION;s10
21;N;ACTION;s41
21;T;ACTION;s42
21;VNAME;GOTO;39
21;ATOMIC;GOTO;38
21;CONST;GOTO;40
22;V;ACTION;s10
22;N;ACTION;s41
22;T;ACTION;s42
22;VNAME;GOTO;39
22;ATOMIC;GOTO;43
22;CONST;GOTO;40
23;";";ACTION;r14
24;";";ACTION;r15
25;";";ACTION;r16
26;<;ACTION;s44
26;=;ACTION;s45
27;(;ACTION;s46
28;not;ACTION;s60
28;sqrt;ACTION;s61
28;or;ACTION;s52
28;and;ACTION;s53
28;eq;ACTION;s54
28;grt;ACTION;s55
28;add;ACTION;s56
28;sub;ACTION;s57
28;mul;ACTION;s58
28;div;ACTION;s59
28;COND;GOTO;47
28;SIMPLE;GOTO;48
28;COMPOSIT;GOTO;49
28;UNOP;GOTO;51
28;BINOP;GOTO;50
29;(;ACTION;r47
30;num;ACTION;s5
30;text;ACTION;s6
30;begin;ACTION;r2
30;GLOBVARS;GOTO;62
30;VTYP;GOTO;4
31;end;ACTION;r49
31;$;ACTION;r49
32;num;ACTION;r50
32;end;ACTION;r50
32;void;ACTION;r50
32;$;ACTION;r50
33;num;ACTION;s5
33;text;ACTION;s6
33;VTYP;GOTO;64
33;LOCVARS;GOTO;63
34;num;ACTION;r55
34;text;ACTION;r55
35;(;ACTION;s65
36;num;ACTION;r7
36;";";ACTION;r7
36;else;ACTION;r7
36;void;ACTION;r7
36;};ACTION;r7
36;$;ACTION;r7
37;V;ACTION;s10
37;end;ACTION;r8
37;skip;ACTION;s19
37;halt;ACTION;s20
37;print;ACTION;s21
37;return;ACTION;s22
37;if;ACTION;s28
37;F;ACTION;s29
37;VNAME;GOTO;26
37;INSTRUC;GOTO;66
37;COMMAND;GOTO;18
37;ASSIGN;GOTO;23
37;CALL;GOTO;24
37;BRANCH;GOTO;25
37;FNAME;GOTO;27
38;";";ACTION;r12
39;,;ACTION;r17
39;";";ACTION;r17
39;);ACTION;r17
40;,;ACTION;r18
40;";";ACTION;r18
40;);ACTION;r18
41;,;ACTION;r19
41;";";ACTION;r19
41;);ACTION;r19
42;,;ACTION;r20
42;";";ACTION;r20
42;);ACTION;r20
43;";";ACTION;r13
44;input;ACTION;s67
45;V;ACTION;s10
45;N;ACTION;s41
45;T;ACTION;s42
45;not;ACTION;s60
45;sqrt;ACTION;s61
45;or;ACTION;s52
45;and;ACTION;s53
45;eq;ACTION;s54
45;grt;ACTION;s55
45;add;ACTION;s56
45;sub;ACTION;s57
45;mul;ACTION;s58
45;div;ACTION;s59
45;F;ACTION;s29
45;VNAME;GOTO;39
45;ATOMIC;GOTO;69
45;CONST;GOTO;40
45;CALL;GOTO;70
45;TERM;GOTO;68
45;OP;GOTO;71
45;UNOP;GOTO;72
45;BINOP;GOTO;73
45;FNAME;GOTO;27
46;V;ACTION;s10
46;N;ACTION;s41
46;T;ACTION;s42
46;VNAME;GOTO;39
46;ATOMIC;GOTO;74
46;CONST;GOTO;40
47;then;ACTION;s75
48;then;ACTION;r32
49;then;ACTION;r33
50;(;ACTION;s76
51;(;ACTION;s77
52;(;ACTION;r39
53;(;ACTION;r40
54;(;ACTION;r41
55;(;ACTION;r42
56;(;ACTION;r43
57;(;ACTION;r44
58;(;ACTION;r45
59;(;ACTION;r46
60;(;ACTION;r37
61;(;ACTION;r38
62;begin;ACTION;r3
63;begin;ACTION;s8
63;ALGO;GOTO;78
64;V;ACTION;s10
64;VNAME;GOTO;79
65;V;ACTION;s10
65;VNAME;GOTO;80
66;end;ACTION;r9
67;";";ACTION;r21
68;";";ACTION;r22
69;";";ACTION;r25
70;";";ACTION;r26
71;";";ACTION;r27
72;(;ACTION;s81
73;(;ACTION;s82
74;,;ACTION;s83
75;begin;ACTION;s8
75;ALGO;GOTO;84
76;V;ACTION;s10
76;N;ACTION;s41
76;T;ACTION;s42
76;or;ACTION;s52
76;and;ACTION;s53
76;eq;ACTION;s54
76;grt;ACTION;s55
76;add;ACTION;s56
76;sub;ACTION;s57
76;mul;ACTION;s58
76;div;ACTION;s59
76;VNAME;GOTO;39
76;ATOMIC;GOTO;85
76;CONST;GOTO;40
76;SIMPLE;GOTO;86
76;BINOP;GOTO;87
77;or;ACTION;s52
77;and;ACTION;s53
77;eq;ACTION;s54
77;grt;ACTION;s55
77;add;ACTION;s56
77;sub;ACTION;s57
77;mul;ACTION;s58
77;div;ACTION;s59
77;SIMPLE;GOTO;88
77;BINOP;GOTO;87
78;};ACTION;s90
78;EPILOG;GOTO;89
79;,;ACTION;s91
80;,;ACTION;s92
81;V;ACTION;s10
81;N;ACTION;s41
81;T;ACTION;s42
81;not;ACTION;s60
81;sqrt;ACTION;s61
81;or;ACTION;s52
81;and;ACTION;s53
81;eq;ACTION;s54
81;grt;ACTION;s55
81;add;ACTION;s56
81;sub;ACTION;s57
81;mul;ACTION;s58
81;div;ACTION;s59
81;VNAME;GOTO;39
81;ATOMIC;GOTO;94
81;CONST;GOTO;40
81;OP;GOTO;95
81;ARG;GOTO;93
81;UNOP;GOTO;72
81;BINOP;GOTO;73
82;V;ACTION;s10
82;N;ACTION;s41
82;T;ACTION;s42
82;not;ACTION;s60
82;sqrt;ACTION;s61
82;or;ACTION;s52
82;and;ACTION;s53
82;eq;ACTION;s54
82;grt;ACTION;s55
82;add;ACTION;s56
82;sub;ACTION;s57
82;mul;ACTION;s58
82;div;ACTION;s59
82;VNAME;GOTO;39
82;ATOMIC;GOTO;94
82;CONST;GOTO;40
82;OP;GOTO;95
82;ARG;GOTO;96
82;UNOP;GOTO;72
82;BINOP;GOTO;73
83;V;ACTION;s10
83;N;ACTION;s41
83;T;ACTION;s42
83;VNAME;GOTO;39
83;ATOMIC;GOTO;97
83;CONST;GOTO;40
84;else;ACTION;s98
85;,;ACTION;s99
86;,;ACTION;s100
87;(;ACTION;s101
88;);ACTION;s102
89;num;ACTION;s15
89;end;ACTION;r48
89;void;ACTION;s16
89;$;ACTION;r48
89;FUNCTIONS;GOTO;104
89;DECL;GOTO;12
89;HEADER;GOTO;13
89;FTYP;GOTO;14
89;SUBFUNCS;GOTO;103
90;num;ACTION;r56
90;end;ACTION;r56
90;void;ACTION;r56
90;$;ACTION;r56
91;num;ACTION;s5
91;text;ACTION;s6
91;VTYP;GOTO;105
92;V;ACTION;s10
92;VNAME;GOTO;106
93;);ACTION;s107
94;,;ACTION;r30
94;);ACTION;r30
95;,;ACTION;r31
95;);ACTION;r31
96;,;ACTION;s108
97;,;ACTION;s109
98;begin;ACTION;s8
98;ALGO;GOTO;110
99;V;ACTION;s10
99;N;ACTION;s41
99;T;ACTION;s42
99;VNAME;GOTO;39
99;ATOMIC;GOTO;111
99;CONST;GOTO;40
100;or;ACTION;s52
100;and;ACTION;s53
100;eq;ACTION;s54
100;grt;ACTION;s55
100;add;ACTION;s56
100;sub;ACTION;s57
100;mul;ACTION;s58
100;div;ACTION;s59
100;SIMPLE;GOTO;112
100;BINOP;GOTO;87
101;V;ACTION;s10
101;N;ACTION;s41
101;T;ACTION;s42
101;VNAME;GOTO;39
101;ATOMIC;GOTO;85
101;CONST;GOTO;40
102;then;ACTION;r36
103;end;ACTION;s113
104;end;ACTION;r58
105;V;ACTION;s10
105;VNAME;GOTO;114
106;,;ACTION;s115
107;,;ACTION;r28
107;";";ACTION;r28
107;);ACTION;r28
108;V;ACTION;s10
108;N;ACTION;s41
108;T;ACTION;s42
108;not;ACTION;s60
108;sqrt;ACTION;s61
108;or;ACTION;s52
108;and;ACTION;s53
108;eq;ACTION;s54
108;grt;ACTION;s55
108;add;ACTION;s56
108;sub;ACTION;s57
108;mul;ACTION;s58
108;div;ACTION;s59
108;VNAME;GOTO;39
108;ATOMIC;GOTO;94
108;CONST;GOTO;40
108;OP;GOTO;95
108;ARG;GOTO;116
108;UNOP;GOTO;72
108;BINOP;GOTO;73
109;V;ACTION;s10
109;N;ACTION;s41
109;T;ACTION;s42
109;VNAME;GOTO;39
109;ATOMIC;GOTO;117
109;CONST;GOTO;40
110;";";ACTION;r24
111;);ACTION;s118
112;);ACTION;s119
113;num;ACTION;r54
113;end;ACTION;r54
113;void;ACTION;r54
113;$;ACTION;r54
114;,;ACTION;s120
115;V;ACTION;s10
115;VNAME;GOTO;121
116;);ACTION;s122
117;);ACTION;s123
118;,;ACTION;r34
